team_name,country_code,confederation,fifa_rank,fifa_points,wins_last_10_matches,losses_last_10_matches,draws_last_10_matches,win_rate_last_year,goals_scored_avg,goals_conceded_avg,clean_sheets_last_10,shots_per_game,shots_on_target_ratio,avg_player_rating,star_players_count,market_value_million_eur,experience_avg_caps,coach_experience_years,recent_form_score,possession_avg,passing_accuracy,host_advantage,travel_distance_avg,climate_similarity_score,winner,points_per_match_last_10,goal_difference_avg,performance_index,value_per_cap,dominance_score,shot_quality,defensive_solidity,rank_tier,log_market_value,conf_AFC,conf_CAF,conf_CONCACAF,conf_CONMEBOL,conf_OFC,conf_UEFA,rank_Developing,rank_Elite,rank_Mid,rank_Strong
Poland,POL,UEFA,18,1675.2,5,4,1,0.52,1.11,0.91,3,11.3,0.34,75.0,3,256.0,26,10,6.5,47.3,76.8,0,6.2,0.61,1,1.6,0.20000000000000007,54.2,9.846153846153847,62.05,3.8420000000000005,0.3,Strong,5.54907608489522,False,False,False,False,False,True,False,False,False,True
Brazil,BRA,CONMEBOL,8,1831.2,7,2,1,0.69,2.31,0.76,5,19.2,0.502,86.2,4,1174.0,53,25,8.2,55.2,87.4,0,6.7,0.7,1,2.2,1.55,65.77,22.150943396226417,71.30000000000001,9.638399999999999,0.5,Elite,7.069023426578259,False,False,False,True,False,False,False,True,False,False
Netherlands,NED,UEFA,6,1769.3,6,2,2,0.585,1.85,0.62,3,15.9,0.472,85.3,3,741.0,49,12,7.2,56.3,88.4,0,8.0,0.61,1,2.0,1.23,60.904999999999994,15.122448979591837,72.35,7.5047999999999995,0.3,Elite,6.60934924316738,False,False,False,False,False,True,False,True,False,False
Germany,DEU,UEFA,17,1663.4,7,1,2,0.584,1.4,1.09,2,15.6,0.453,83.2,3,593.0,43,16,8.1,57.5,80.6,0,6.2,0.55,0,2.3,0.30999999999999983,63.31,13.790697674418604,69.05,7.0668,0.2,Strong,6.386879319362645,False,False,False,False,False,True,False,False,False,True
Nigeria,NGA,CAF,28,1476.6,3,5,2,0.39,0.95,1.97,2,6.2,0.319,70.8,0,236.0,21,1,3.1,45.1,72.5,0,8.6,0.48,0,1.1,-1.02,39.529999999999994,11.238095238095237,58.8,1.9778,0.2,Mid,5.4680601411351315,False,True,False,False,False,False,False,False,True,False
Austria,AUT,UEFA,24,1565.0,3,3,4,0.561,1.13,1.42,3,10.6,0.315,76.5,2,283.0,44,15,6.6,45.1,79.2,0,5.9,0.49,1,1.3,-0.29000000000000004,55.485,6.431818181818182,62.150000000000006,3.339,0.3,Mid,5.648974238161206,False,False,False,False,False,True,False,False,True,False
Peru,PER,CONMEBOL,36,1480.8,2,4,4,0.441,0.7,1.7,0,6.7,0.36,71.9,1,290.0,19,1,4.2,46.8,74.5,0,6.2,0.7,0,1.0,-1.0,44.275000000000006,15.263157894736842,60.65,2.412,0.0,Developing,5.673323267171493,False,False,False,True,False,False,True,False,False,False
Argentina,ARG,CONMEBOL,2,1919.4,8,2,0,0.68,2.31,0.82,5,17.5,0.502,83.1,5,1105.0,59,14,7.5,64.0,94.4,0,4.6,0.64,0,2.4,1.4900000000000002,62.13499999999999,18.728813559322035,79.2,8.785,0.5,Elite,7.00850518208228,False,False,False,True,False,False,False,True,False,False
Mexico,MEX,CONCACAF,14,1550.3,6,3,1,0.511,1.37,0.97,4,13.8,0.367,80.2,3,352.0,27,5,6.2,54.9,82.8,1,2.1,0.72,1,1.9,0.40000000000000013,54.879999999999995,13.037037037037036,68.85,5.0646,0.4,Strong,5.8664680569332965,False,False,True,False,False,False,False,False,False,True
Brazil,BRA,CONMEBOL,8,1847.2,7,1,2,0.78,2.02,0.83,3,17.0,0.427,85.6,5,1060.0,40,23,7.3,59.8,87.4,0,7.9,0.65,0,2.3,1.19,63.31,26.5,73.6,7.2589999999999995,0.3,Elite,6.966967138613983,False,False,False,True,False,False,False,True,False,False
Germany,DEU,UEFA,18,1766.1,7,1,2,0.589,1.8,0.94,5,15.2,0.373,85.6,2,562.0,40,7,6.5,61.4,85.5,0,7.3,0.74,1,2.3,0.8600000000000001,58.599999999999994,14.05,73.45,5.6696,0.5,Strong,6.333279628139691,False,False,False,False,False,True,False,False,False,True
Japan,JPN,AFC,21,1706.0,4,4,2,0.414,1.15,1.27,3,9.7,0.362,77.8,0,505.0,33,13,6.1,51.1,79.2,0,9.5,0.51,1,1.4,-0.1200000000000001,52.72,15.303030303030303,65.15,3.5113999999999996,0.3,Mid,6.226536669287466,True,False,False,False,False,False,False,False,True,False
Brazil,BRA,CONMEBOL,8,1934.4,9,1,0,0.718,2.18,0.46,5,16.8,0.481,85.0,4,1130.0,56,17,9.5,59.7,90.2,0,7.1,0.6,1,2.7,1.7200000000000002,70.18,20.178571428571427,74.95,8.0808,0.5,Elite,7.030857476116121,False,False,False,True,False,False,False,True,False,False
Spain,ESP,UEFA,7,1810.4,9,0,1,0.753,2.12,0.88,5,16.6,0.412,83.2,3,740.0,48,19,8.2,57.3,87.5,0,7.2,0.66,0,2.8,1.2400000000000002,65.35,15.416666666666666,72.4,6.8392,0.5,Elite,6.608000625296087,False,False,False,False,False,True,False,True,False,False
Sweden,SWE,UEFA,18,1644.6,3,3,4,0.484,1.17,1.05,1,9.6,0.341,71.7,2,262.0,38,6,4.5,45.2,83.1,0,6.4,0.59,1,1.3,0.11999999999999988,45.685,6.894736842105263,64.15,3.2736,0.1,Strong,5.572154032177765,False,False,False,False,False,True,False,False,False,True
Morocco,MAR,CAF,30,1610.7,3,5,2,0.537,1.43,1.46,2,9.1,0.37,80.6,2,422.0,25,3,6.4,54.0,83.2,0,9.6,0.31,1,1.1,-0.030000000000000027,55.98,16.88,68.6,3.367,0.2,Mid,6.0473721790462776,False,True,False,False,False,False,False,False,True,False
Germany,DEU,UEFA,17,1667.0,7,3,0,0.661,1.71,1.01,3,16.1,0.387,79.8,2,589.0,45,17,5.6,55.0,85.5,0,6.7,0.62,0,2.1,0.7,54.13999999999999,13.088888888888889,70.25,6.230700000000001,0.3,Strong,6.380122536899765,False,False,False,False,False,True,False,False,False,True
Australia,AUS,AFC,34,1704.8,3,5,2,0.536,1.52,0.97,2,13.5,0.361,79.8,2,339.0,43,3,4.2,55.5,78.5,0,13.7,0.54,1,1.1,0.55,47.989999999999995,7.883720930232558,67.0,4.8735,0.2,Mid,5.8289456176102075,True,False,False,False,False,False,False,False,True,False
